Date Time Served,Bar Name,Alcohol Type,Brand Name,Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml)
1/1/2023 19:35,Smith's Bar,Rum,Captain Morgan,2555.04,1824.84,0,4379.88
1/1/2023 10:07,Smith's Bar,Wine,Yellow Tail,1344.37,0,0,1344.37
1/1/2023 11:26,Johnson's Bar,Vodka,Grey Goose,1034.28,0,0,1034.28
1/1/2023 13:53,Johnson's Bar,Beer,Coors,2194.53,0,0,2194.53
1/1/2023 22:28,Johnson's Bar,Wine,Yellow Tail,1020.9,0,0,1020.9
1/1/2023 10:28,Brown's Bar,Vodka,Grey Goose,2560.44,0,0,2560.44
1/1/2023 14:47,Brown's Bar,Whiskey,Jim Beam,826.2,0,0,826.2
1/1/2023 18:34,Brown's Bar,Rum,Captain Morgan,2330.03,0,0,2330.03
1/1/2023 17:23,Taylor's Bar,Vodka,Absolut,1736.08,0,0,1736.08
1/1/2023 17:33,Taylor's Bar,Whiskey,Jack Daniels,2254.32,0,0,2254.32
1/1/2023 15:31,Taylor's Bar,Wine,Sutter Home,2343.94,0,0,2343.94
1/1/2023 18:13,Anderson's Bar,Wine,Sutter Home,2017.45,0,0,2017.45
1/1/2023 18:30,Anderson's Bar,Beer,Miller,1963.7,0,0,1963.7
1/1/2023 11:32,Anderson's Bar,Whiskey,Jim Beam,872.08,0,0,872.08
1/1/2023 15:55,Anderson's Bar,Rum,Bacardi,1109.09,0,0,1109.09
1/1/2023 18:14,Thomas's Bar,Beer,Miller,1765.38,563.67,0,2329.05
1/1/2023 20:36,Thomas's Bar,Rum,Malibu,1493.67,837.09,0,2330.76
1/2/2023 19:32,Smith's Bar,Wine,Sutter Home,2021.23,1483.87,506.75,2998.35
1/2/2023 21:53,Smith's Bar,Whiskey,Jack Daniels,2632.07,0,366.87,2265.2
1/2/2023 20:10,Smith's Bar,Vodka,Grey Goose,2649.78,0,212.64,2437.14
1/2/2023 13:18,Johnson's Bar,Whiskey,Jameson,1146.71,0,301.07,845.64
1/2/2023 16:07,Johnson's Bar,Beer,Coors,2194.53,960.03,225.46,2929.1
1/2/2023 22:49,Johnson's Bar,Wine,Yellow Tail,1020.9,0,217.93,802.97
1/2/2023 13:23,Johnson's Bar,Vodka,Smirnoff,2241.91,0,543.16,1698.75
1/2/2023 17:26,Brown's Bar,Vodka,Absolut,1493.72,0,376.31,1117.41
1/2/2023 22:34,Brown's Bar,Wine,Yellow Tail,2792.52,0,535.95,2256.57
1/2/2023 16:29,Brown's Bar,Rum,Bacardi,748.43,0,134.75,613.68
1/2/2023 20:20,Brown's Bar,Whiskey,Jack Daniels,623.5,0,200.99,422.51
1/2/2023 18:24,Taylor's Bar,Beer,Coors,1862.65,0,310.2,1552.45
1/2/2023 20:54,Taylor's Bar,Rum,Malibu,750.9,857.77,497.71,1110.96
1/2/2023 13:19,Taylor's Bar,Vodka,Grey Goose,2249.09,1120.39,475.98,2893.5
1/2/2023 10:34,Taylor's Bar,Whiskey,Jameson,1173.35,0,114.08,1059.27
1/2/2023 21:05,Anderson's Bar,Vodka,Absolut,1309.92,0,118.62,1191.3
1/2/2023 16:34,Anderson's Bar,Beer,Coors,924,0,440.55,483.45
1/2/2023 20:46,Thomas's Bar,Whiskey,Jameson,1564.81,0,143.76,1421.05
1/2/2023 14:34,Thomas's Bar,Rum,Captain Morgan,514.9,1053.91,533.8,1035.01
1/2/2023 12:41,Thomas's Bar,Vodka,Smirnoff,1480.34,877.79,345.11,2013.02
1/3/2023 12:36,Smith's Bar,Whiskey,Jim Beam,1636.74,0,508.02,1128.72
1/3/2023 22:33,Smith's Bar,Beer,Budweiser,580.68,0,345.15,235.53
1/3/2023 10:02,Johnson's Bar,Rum,Malibu,2054.73,1398.53,538.18,2915.08
1/3/2023 10:23,Johnson's Bar,Beer,Coors,2929.1,0,479.89,2449.21
1/3/2023 15:21,Brown's Bar,Beer,Heineken,2182.19,0,394.25,1787.94
1/3/2023 20:00,Brown's Bar,Whiskey,Jim Beam,826.2,0,227.73,5.98E+02
1/3/2023 15:43,Brown's Bar,Rum,Bacardi,613.68,0,467.87,145.81
1/3/2023 21:58,Brown's Bar,Wine,Sutter Home,1290.67,0,309.29,981.38
1/3/2023 14:30,Taylor's Bar,Beer,Heineken,628.04,0,229.88,398.16
1/3/2023 17:54,Taylor's Bar,Rum,Bacardi,2206.15,0,424.95,1781.2
1/3/2023 11:35,Taylor's Bar,Whiskey,Jameson,1059.27,1181.51,400.99,1839.79
1/3/2023 11:58,Taylor's Bar,Vodka,Grey Goose,2893.5,530.56,350.14,3073.92
1/3/2023 21:05,Anderson's Bar,Vodka,Smirnoff,2629.52,0,264.7,2364.82
1/3/2023 19:19,Anderson's Bar,Whiskey,Jim Beam,872.08,1911.3,363.32,2420.06
1/3/2023 19:41,Anderson's Bar,Wine,Barefoot,2877.3,0,479.09,2398.21
1/3/2023 16:20,Thomas's Bar,Wine,Sutter Home,1949.64,734.47,166.29,2517.82
1/3/2023 11:56,Thomas's Bar,Vodka,Grey Goose,2688.97,0,561.63,2127.34
1/3/2023 15:31,Thomas's Bar,Whiskey,Jim Beam,845.18,0,230.66,614.52
1/3/2023 16:49,Thomas's Bar,Rum,Bacardi,1753.67,1643.57,382.12,3015.12
1/4/2023 19:32,Smith's Bar,Vodka,Absolut,1317.14,0,387.5,929.64
1/4/2023 15:02,Smith's Bar,Rum,Malibu,2260.62,789.76,147.19,2903.19
1/4/2023 10:45,Smith's Bar,Beer,Miller,2.30E+03,0,349.22,1.95E+03
1/4/2023 17:32,Johnson's Bar,Vodka,Smirnoff,1698.75,0,464.68,1234.07
1/4/2023 15:43,Johnson's Bar,Whiskey,Jack Daniels,2672.86,0,399.96,2272.9
1/4/2023 17:02,Johnson's Bar,Wine,Sutter Home,2530.28,0,249.69,2280.59
1/4/2023 22:46,Johnson's Bar,Beer,Miller,1992.8,0,271.23,1721.57
1/4/2023 10:23,Brown's Bar,Whiskey,Jack Daniels,422.51,1628.08,201.9,1848.69
1/4/2023 14:21,Brown's Bar,Wine,Sutter Home,981.38,0,146.13,835.25
1/4/2023 14:47,Brown's Bar,Vodka,Grey Goose,2560.44,1713.47,481.36,3792.55
1/4/2023 10:55,Brown's Bar,Beer,Heineken,1787.94,1779.27,198.65,3368.56
1/4/2023 15:19,Taylor's Bar,Rum,Bacardi,1781.2,1069.94,380.15,2470.99
1/4/2023 18:29,Taylor's Bar,Vodka,Absolut,1736.08,0,533.56,1202.52
1/4/2023 10:39,Anderson's Bar,Beer,Coors,483.45,1009.41,544.08,948.78
1/4/2023 13:06,Anderson's Bar,Wine,Sutter Home,2017.45,1781.89,112.16,3687.18
1/4/2023 11:47,Thomas's Bar,Vodka,Grey Goose,2127.34,0,451.49,1675.85
1/4/2023 19:35,Thomas's Bar,Rum,Captain Morgan,1035.01,0,285.25,749.76
