Date Time Served,Bar Name,Alcohol Type,Brand Name,Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml),timestamp,balance_error_ml,balance_flag,date,previous_closing_ml,continuity_flag
1/3/2023 20:00,Brown's Bar,Whiskey,Jim Beam,826.2,0.0,227.73,598.0,2023-01-03 20:00:00,0.4700000000000273,True,2023-01-03,826.2,False
1/4/2023 10:45,Smith's Bar,Beer,Miller,2300.0,0.0,349.22,1950.0,2023-01-04 10:45:00,0.7799999999999727,True,2023-01-04,,False
1/5/2023 13:00,Smith's Bar,Beer,Miller,1953.63,1921.59,381.0,3494.22,2023-01-05 13:00:00,4.547473508864641e-13,False,2023-01-05,1950.0,True
1/6/2023 13:10,Johnson's Bar,Wine,Barefoot,1427.79,0.0,248.86,1180.0,2023-01-06 13:10:00,-1.0700000000001637,True,2023-01-06,1427.79,False
1/7/2023 14:01,Taylor's Bar,Whiskey,Jim Beam,2510.0,0.0,494.68,2010.0,2023-01-07 14:01:00,5.319999999999936,True,2023-01-07,,False
1/8/2023 14:46,Taylor's Bar,Rum,Captain Morgan,126.78,1736.61,569.99,1290.0,2023-01-08 14:46:00,3.3999999999998636,True,2023-01-08,126.78,False
1/8/2023 20:22,Brown's Bar,Whiskey,Jim Beam,598.47,0.0,496.02,102.45,2023-01-08 20:22:00,4.263256414560601e-14,False,2023-01-08,598.0,True
1/9/2023 10:09,Thomas's Bar,Whiskey,Jameson,905.4,0.0,517.22,388.0,2023-01-09 10:09:00,0.17999999999994998,True,2023-01-09,905.4,False
1/9/2023 13:49,Brown's Bar,Beer,Coors,1860.0,0.0,444.47,1420.0,2023-01-09 13:49:00,-4.470000000000027,True,2023-01-09,1863.72,True
1/9/2023 19:54,Taylor's Bar,Whiskey,Jim Beam,2010.49,1314.69,286.31,3038.87,2023-01-09 19:54:00,4.547473508864641e-13,False,2023-01-09,2010.0,True
1/10/2023 20:13,Smith's Bar,Beer,Coors,2790.0,1416.82,583.52,3620.0,2023-01-10 20:13:00,3.299999999999727,True,2023-01-10,,False
1/11/2023 17:12,Johnson's Bar,Wine,Barefoot,1178.93,878.07,168.94,1888.06,2023-01-11 17:12:00,0.0,False,2023-01-11,1180.0,True
1/11/2023 22:09,Smith's Bar,Beer,Coors,3622.58,0.0,212.59,3409.99,2023-01-11 22:09:00,0.0,False,2023-01-11,3620.0,True
1/12/2023 13:20,Taylor's Bar,Rum,Captain Morgan,1293.4,0.0,598.16,695.24,2023-01-12 13:20:00,1.1368683772161603e-13,False,2023-01-12,1290.0,True
1/13/2023 14:18,Thomas's Bar,Whiskey,Jameson,388.18,0.0,388.18,0.0,2023-01-13 14:18:00,0.0,False,2023-01-13,388.0,True
1/13/2023 17:21,Anderson's Bar,Whiskey,Jim Beam,2000.0,722.2,424.82,2300.0,2023-01-13 17:21:00,-2.6200000000003456,True,2023-01-13,1999.88,True
1/13/2023 22:04,Brown's Bar,Beer,Budweiser,4280.0,0.0,451.47,3830.0,2023-01-13 22:04:00,-1.4700000000002547,True,2023-01-13,4278.12,True
1/14/2023 21:33,Taylor's Bar,Rum,Bacardi,1910.0,0.0,345.72,1560.0,2023-01-14 21:33:00,4.279999999999973,True,2023-01-14,1910.7,True
1/14/2023 22:58,Brown's Bar,Beer,Coors,1419.25,0.0,167.73,1251.52,2023-01-14 22:58:00,0.0,False,2023-01-14,1420.0,True
1/15/2023 15:03,Anderson's Bar,Beer,Heineken,1560.0,1438.61,218.82,2780.0,2023-01-15 15:03:00,-0.21000000000049113,True,2023-01-15,1560.26,True
1/16/2023 18:07,Thomas's Bar,Beer,Heineken,2910.0,0.0,123.59,2780.0,2023-01-16 18:07:00,6.4099999999998545,True,2023-01-16,2906.21,True
1/16/2023 19:03,Anderson's Bar,Whiskey,Jim Beam,2297.26,0.0,134.76,2162.5,2023-01-16 19:03:00,0.0,False,2023-01-16,2300.0,True
1/17/2023 14:25,Brown's Bar,Whiskey,Jack Daniels,2930.0,1722.41,278.31,4370.0,2023-01-17 14:25:00,4.099999999999454,True,2023-01-17,2929.18,True
1/17/2023 17:50,Brown's Bar,Wine,Sutter Home,68.9,0.0,68.94,1.14e-13,2023-01-17 17:50:00,-0.04000000000010604,True,2023-01-17,68.94,True
1/18/2023 10:37,Anderson's Bar,Vodka,Grey Goose,2521.22,0.0,564.47,1960.0,2023-01-18 10:37:00,-3.2500000000002274,True,2023-01-18,2521.22,False
1/18/2023 10:46,Brown's Bar,Whiskey,Jack Daniels,4373.28,0.0,183.3,4189.98,2023-01-18 10:46:00,0.0,False,2023-01-18,4370.0,True
1/18/2023 15:35,Thomas's Bar,Beer,Heineken,2782.62,1375.17,241.96,3920.0,2023-01-18 15:35:00,-4.170000000000073,True,2023-01-18,2780.0,True
1/19/2023 13:53,Brown's Bar,Beer,Budweiser,3826.65,0.0,280.02,3546.63,2023-01-19 13:53:00,0.0,False,2023-01-19,3830.0,True
1/20/2023 13:53,Thomas's Bar,Wine,Barefoot,522.01,0.0,494.08,27.9,2023-01-20 13:53:00,0.030000000000008242,True,2023-01-20,522.01,False
1/20/2023 15:06,Johnson's Bar,Rum,Captain Morgan,627.12,0.0,360.7,266.0,2023-01-20 15:06:00,0.4200000000000159,True,2023-01-20,627.12,False
1/20/2023 15:32,Thomas's Bar,Vodka,Grey Goose,514.0,0.0,513.57,0.0,2023-01-20 15:32:00,0.42999999999995,True,2023-01-20,513.57,True
1/20/2023 18:31,Taylor's Bar,Rum,Bacardi,1564.98,0.0,156.61,1408.37,2023-01-20 18:31:00,0.0,False,2023-01-20,1560.0,True
1/20/2023 22:18,Anderson's Bar,Vodka,Grey Goose,1956.75,0.0,324.21,1632.54,2023-01-20 22:18:00,0.0,False,2023-01-20,1960.0,True
1/21/2023 22:58,Brown's Bar,Rum,Captain Morgan,2720.0,0.0,524.59,2190.0,2023-01-21 22:58:00,5.4099999999998545,True,2023-01-21,2716.81,True
1/22/2023 13:39,Johnson's Bar,Rum,Captain Morgan,266.42,1082.88,366.66,982.64,2023-01-22 13:39:00,1.1368683772161603e-13,False,2023-01-22,266.0,True
1/22/2023 15:22,Taylor's Bar,Rum,Malibu,743.95,0.0,498.5,245.0,2023-01-22 15:22:00,0.4500000000000455,True,2023-01-22,743.95,False
1/23/2023 14:40,Anderson's Bar,Vodka,Smirnoff,2860.0,1320.24,101.0,4083.58,2023-01-23 14:40:00,-4.3400000000001455,True,2023-01-23,2864.34,True
1/23/2023 18:37,Smith's Bar,Whiskey,Jim Beam,1220.0,0.0,299.64,920.0,2023-01-23 18:37:00,0.36000000000001364,True,2023-01-23,1219.64,True
1/24/2023 19:14,Thomas's Bar,Whiskey,Jack Daniels,0.0,1239.15,449.54,790.0,2023-01-24 19:14:00,-0.38999999999987267,True,2023-01-24,0.0,False
1/25/2023 10:14,Johnson's Bar,Rum,Captain Morgan,983.0,0.0,313.66,669.0,2023-01-25 10:14:00,0.33999999999991815,True,2023-01-25,982.64,True
1/26/2023 14:35,Thomas's Bar,Beer,Heineken,3915.83,0.0,0.0,3915.83,2023-01-26 14:35:00,0.0,False,2023-01-26,3920.0,True
