Bar Name,Brand Name,series,as_of,lead_time_demand_ml,safety_stock_ml,par_ml,par_750ml_bottles
Anderson's Bar,Absolut,0,2024-01-01,0.0,162.753737669114,162.753737669114,1
Anderson's Bar,Bacardi,1,2024-01-01,330.37857142857143,351.8537962138273,682.2323676423987,1
Anderson's Bar,Barefoot,2,2024-01-01,89.24285714285715,500.6640645495857,589.9069216924429,1
Anderson's Bar,Budweiser,3,2024-01-01,0.0,267.2735305643938,267.2735305643938,1
Anderson's Bar,Captain Morgan,4,2024-01-01,39.839999999999996,427.2670890909325,467.10708909093245,1
Anderson's Bar,Coors,5,2024-01-01,150.9085714285714,265.3065259706679,416.2150973992393,1
Anderson's Bar,Grey Goose,6,2024-01-01,77.27142857142857,337.9707023090401,415.2421308804687,1
Anderson's Bar,Heineken,7,2024-01-01,138.09428571428572,265.74223673467066,403.8365224489564,1
Anderson's Bar,Jack Daniels,8,2024-01-01,116.90142857142858,333.0267630218375,449.9281915932661,1
Anderson's Bar,Jameson,9,2024-01-01,103.30714285714285,353.5206347908535,456.8277776479963,1
Anderson's Bar,Jim Beam,10,2024-01-01,349.5757142857143,295.9734444856063,645.5491587713207,1
Anderson's Bar,Malibu,11,2024-01-01,25.00714285714286,306.9190172529356,331.92616011007846,1
Anderson's Bar,Miller,12,2024-01-01,4.102857142857142,406.387388061523,410.49024520438013,1
Anderson's Bar,Smirnoff,13,2024-01-01,84.80285714285715,384.3749286300587,469.17778577291585,1
Anderson's Bar,Sutter Home,14,2024-01-01,78.72714285714287,345.34114380360745,424.06828666075035,1
Anderson's Bar,Yellow Tail,15,2024-01-01,53.22142857142857,183.73220462672086,236.95363319814942,1
Brown's Bar,Absolut,16,2024-01-01,103.79428571428572,419.722475906907,523.5167616211927,1
Brown's Bar,Bacardi,17,2024-01-01,163.58571428571432,362.213381287463,525.7990955731773,1
Brown's Bar,Barefoot,18,2024-01-01,139.44714285714286,308.10071892826386,447.5478617854067,1
Brown's Bar,Budweiser,19,2024-01-01,65.96857142857142,248.48652372366695,314.45509515223836,1
Brown's Bar,Captain Morgan,20,2024-01-01,0.0,317.00436476752697,317.00436476752697,1
Brown's Bar,Coors,21,2024-01-01,242.85714285714286,231.64571690713407,474.50285976427693,1
Brown's Bar,Grey Goose,22,2024-01-01,11.512857142857143,374.6459417939699,386.158798936827,1
Brown's Bar,Heineken,23,2024-01-01,15.947142857142856,325.59986004332114,341.547002900464,1
Brown's Bar,Jack Daniels,24,2024-01-01,94.13285714285713,200.38452513748666,294.5173822803438,1
Brown's Bar,Jameson,25,2024-01-01,133.55,338.5087853764911,472.05878537649113,1
Brown's Bar,Jim Beam,26,2024-01-01,98.90428571428572,388.0732965859066,486.9775823001923,1
Brown's Bar,Malibu,27,2024-01-01,353.0614285714286,294.6881910516429,647.7496196230716,1
Brown's Bar,Miller,28,2024-01-01,0.0,423.13511158306284,423.13511158306284,1
Brown's Bar,Smirnoff,29,2024-01-01,114.73285714285714,288.79370061896276,403.5265577618199,1
Brown's Bar,Sutter Home,30,2024-01-01,0.0,331.1664465973943,331.1664465973943,1
Brown's Bar,Yellow Tail,31,2024-01-01,63.11857142857143,462.05255326645494,525.1711246950264,1
Johnson's Bar,Absolut,32,2024-01-01,0.0,400.44667589701766,400.44667589701766,1
Johnson's Bar,Bacardi,33,2024-01-01,122.77428571428572,292.8146854422369,415.58897115652263,1
Johnson's Bar,Barefoot,34,2024-01-01,96.62857142857142,262.9537257249424,359.5822971535138,1
Johnson's Bar,Budweiser,35,2024-01-01,179.07,401.4230545380878,580.4930545380878,1
Johnson's Bar,Captain Morgan,36,2024-01-01,83.85000000000001,421.16493974465345,505.0149397446535,1
Johnson's Bar,Coors,37,2024-01-01,141.74285714285716,290.25800376709094,432.0008609099481,1
Johnson's Bar,Grey Goose,38,2024-01-01,247.10714285714286,304.1366659720958,551.2438088292387,1
Johnson's Bar,Heineken,39,2024-01-01,218.60285714285715,254.55348860843966,473.15634575129684,1
Johnson's Bar,Jack Daniels,40,2024-01-01,148.82,333.35885121938185,482.17885121938184,1
Johnson's Bar,Jameson,41,2024-01-01,108.38142857142857,279.11069240010954,387.4921209715381,1
Johnson's Bar,Jim Beam,42,2024-01-01,44.23142857142857,303.98790445821356,348.21933302964214,1
Johnson's Bar,Malibu,43,2024-01-01,154.80714285714288,368.7853469086448,523.5924897657876,1
Johnson's Bar,Miller,44,2024-01-01,0.0,292.6716125415339,292.6716125415339,1
Johnson's Bar,Smirnoff,45,2024-01-01,46.464285714285715,438.32538147132226,484.789667185608,1
Johnson's Bar,Sutter Home,46,2024-01-01,43.21857142857142,326.5422953047816,369.760866733353,1
Johnson's Bar,Yellow Tail,47,2024-01-01,81.91714285714286,369.90261714837305,451.81976000551595,1
Smith's Bar,Absolut,48,2024-01-01,136.10142857142858,437.65326890069855,573.7546974721272,1
Smith's Bar,Bacardi,49,2024-01-01,151.89000000000001,387.9624091860633,539.8524091860634,1
Smith's Bar,Barefoot,50,2024-01-01,102.78142857142858,391.52595720616176,494.30738577759035,1
Smith's Bar,Budweiser,51,2024-01-01,101.08571428571429,259.208385870503,360.29410015621727,1
Smith's Bar,Captain Morgan,52,2024-01-01,87.35857142857142,312.5430275501057,399.90159897867716,1
Smith's Bar,Coors,53,2024-01-01,116.41285714285713,258.1640838056532,374.57694094851036,1
Smith's Bar,Grey Goose,54,2024-01-01,198.34714285714284,371.7040893961973,570.0512322533401,1
Smith's Bar,Heineken,55,2024-01-01,46.114285714285714,274.6064208309273,320.720706545213,1
Smith's Bar,Jack Daniels,56,2024-01-01,29.774285714285714,314.01615321773136,343.7904389320171,1
Smith's Bar,Jameson,57,2024-01-01,125.46428571428571,395.8567428172496,521.3210285315353,1
Smith's Bar,Jim Beam,58,2024-01-01,18.587142857142858,322.93165708919474,341.5187999463376,1
Smith's Bar,Malibu,59,2024-01-01,208.0514285714286,357.04945067349615,565.1008792449247,1
Smith's Bar,Miller,60,2024-01-01,62.47428571428571,340.14345986353555,402.61774557782127,1
Smith's Bar,Smirnoff,61,2024-01-01,100.35571428571428,229.77216763183532,330.1278819175496,1
Smith's Bar,Sutter Home,62,2024-01-01,132.6242857142857,337.8533850460349,470.47767076032056,1
Smith's Bar,Yellow Tail,63,2024-01-01,0.0,350.1322552967843,350.1322552967843,1
Taylor's Bar,Absolut,64,2024-01-01,134.81857142857143,343.3537488084482,478.1723202370196,1
Taylor's Bar,Bacardi,65,2024-01-01,0.0,335.8808869611877,335.8808869611877,1
Taylor's Bar,Barefoot,66,2024-01-01,23.59714285714286,386.51272549770744,410.1098683548503,1
Taylor's Bar,Budweiser,67,2024-01-01,127.7057142857143,329.797720978373,457.5034352640873,1
Taylor's Bar,Captain Morgan,68,2024-01-01,106.42714285714285,219.20887272527474,325.6360155824176,1
Taylor's Bar,Coors,69,2024-01-01,140.12,308.2508717098472,448.3708717098472,1
Taylor's Bar,Grey Goose,70,2024-01-01,0.0,410.4299041956045,410.4299041956045,1
Taylor's Bar,Heineken,71,2024-01-01,0.0,255.68994140784656,255.68994140784656,1
Taylor's Bar,Jack Daniels,72,2024-01-01,151.20142857142855,369.6952335401067,520.8966621115353,1
Taylor's Bar,Jameson,73,2024-01-01,0.0,276.10281879949997,276.10281879949997,1
Taylor's Bar,Jim Beam,74,2024-01-01,200.99714285714285,324.7375843845911,525.7347272417339,1
Taylor's Bar,Malibu,75,2024-01-01,246.71,351.5702593588013,598.2802593588013,1
Taylor's Bar,Miller,76,2024-01-01,0.0,366.95698277891006,366.95698277891006,1
Taylor's Bar,Smirnoff,77,2024-01-01,241.8114285714286,116.49005294496399,358.3014815163926,1
Taylor's Bar,Sutter Home,78,2024-01-01,0.0,201.56636261686106,201.56636261686106,1
Taylor's Bar,Yellow Tail,79,2024-01-01,72.31857142857143,219.56369550267294,291.8822669312444,1
Thomas's Bar,Absolut,80,2024-01-01,35.48142857142857,301.297836581499,336.77926515292756,1
Thomas's Bar,Bacardi,81,2024-01-01,124.38142857142859,373.0721472638765,497.45357583530506,1
Thomas's Bar,Barefoot,82,2024-01-01,106.89285714285714,317.6448743285121,424.5377314713693,1
Thomas's Bar,Budweiser,83,2024-01-01,50.15857142857143,427.0196704981725,477.1782419267439,1
Thomas's Bar,Captain Morgan,84,2024-01-01,17.705714285714286,277.00272305232136,294.70843733803565,1
Thomas's Bar,Coors,85,2024-01-01,76.24571428571429,198.3080355275053,274.5537498132196,1
Thomas's Bar,Grey Goose,86,2024-01-01,266.4114285714286,363.56914268052645,629.9805712519551,1
Thomas's Bar,Heineken,87,2024-01-01,134.09857142857143,240.37942763959035,374.4779990681618,1
Thomas's Bar,Jack Daniels,88,2024-01-01,116.53714285714285,430.8836642991146,547.4208071562575,1
Thomas's Bar,Jameson,89,2024-01-01,127.37571428571427,358.4726485373871,485.84836282310135,1
Thomas's Bar,Jim Beam,90,2024-01-01,65.06285714285714,400.84673908050047,465.9095962233576,1
Thomas's Bar,Malibu,91,2024-01-01,146.88714285714286,385.1441341466079,532.0312770037508,1
Thomas's Bar,Miller,92,2024-01-01,78.46285714285715,453.05958636340745,531.5224435062646,1
Thomas's Bar,Smirnoff,93,2024-01-01,107.91714285714286,349.8527460024153,457.76988885955814,1
Thomas's Bar,Sutter Home,94,2024-01-01,15.765714285714285,274.0998011812965,289.8655154670108,1
Thomas's Bar,Yellow Tail,95,2024-01-01,137.8557142857143,222.68945301367629,360.5451672993906,1
